info: Server started at port : 8080 {"timestamp":"2025-08-28T05:23:40.316Z"}
info: Database synced successfully {"timestamp":"2025-08-28T05:23:41.867Z"}
info: GET /users/getCurrentuser | User: sameer_30 | Status: 304 | 207ms {"timestamp":"2025-08-28T05:25:31.461Z"}
info: POST /users/login | User: Anonymous | Status: 200 | 169ms {"timestamp":"2025-08-28T05:25:40.359Z"}
info: GET /users/getCurrentuser | User: sameer_13 | Status: 200 | 101ms {"timestamp":"2025-08-28T05:25:40.462Z"}
info: GET /uploads/1756099045626-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:40.982Z"}
info: POST /post/getFeeds | User: sameer_13 | Status: 200 | 138ms {"timestamp":"2025-08-28T05:25:41.122Z"}
info: GET /uploads/1756094784290-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:41.129Z"}
info: GET /uploads/1756094809715-image.jpeg | User: Anonymous | Status: 304 | 3ms {"timestamp":"2025-08-28T05:25:41.131Z"}
info: GET /uploads/1756054540618-image.jpeg | User: Anonymous | Status: 304 | 3ms {"timestamp":"2025-08-28T05:25:41.131Z"}
info: GET /uploads/1756054592501-image.jpeg | User: Anonymous | Status: 304 | 4ms {"timestamp":"2025-08-28T05:25:41.133Z"}
info: GET /uploads/1756101152515-image.jpeg | User: Anonymous | Status: 304 | 2ms {"timestamp":"2025-08-28T05:25:41.134Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:41.135Z"}
info: GET /uploads/1755763343674-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:41.135Z"}
info: GET /uploads/1756101251294-image.webp | User: Anonymous | Status: 304 | 2ms {"timestamp":"2025-08-28T05:25:41.136Z"}
info: GET /uploads/1755679093845-image.webp | User: Anonymous | Status: 304 | 3ms {"timestamp":"2025-08-28T05:25:41.137Z"}
info: GET /uploads/1755678081309-image.webp | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:41.137Z"}
info: POST /post/search | User: sameer_13 | Status: 200 | 23ms {"timestamp":"2025-08-28T05:25:50.163Z"}
info: GET /follow/following | User: sameer_13 | Status: 200 | 145ms {"timestamp":"2025-08-28T05:25:52.763Z"}
info: GET /uploads/1756094784290-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:52.769Z"}
info: GET /uploads/1756054540618-image.jpeg | User: Anonymous | Status: 304 | 1ms {"timestamp":"2025-08-28T05:25:52.771Z"}
info: GET /uploads/1755952069305-image.webp | User: Anonymous | Status: 304 | 0ms {"timestamp":"2025-08-28T05:25:52.771Z"}
